Sno,Monitor Name,Description,Custom_SQL
19,Validity: email_address format,"Checks that email_address values conform to a standard email format, ensuring data validity.","SELECT COUNT(*) FROM tsb.customer_data_bank WHERE email_address IS NOT NULL AND email_address !~* '^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}$'"
20,Validity: phone_number format,"Checks that phone_number values contain only digits, spaces, plus, hyphens, or parentheses, ensuring valid phone numbers.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE phone_number IS NOT NULL AND phone_number !~* '^[0-9+\-\(\) ]+$'
21,Validity: gender values,"Checks that gender values are within expected domain (e.g., Male, Female, Other), ensuring standardization.","SELECT COUNT(*) FROM tsb.customer_data_bank WHERE gender IS NOT NULL AND gender NOT IN ('Male','Female','Other')"
22,Validity: age non-negative,"Checks that age values are non-negative, ensuring logical consistency.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE age IS NOT NULL AND age < 0
23,Validity: date_of_birth in the past,"Checks that date_of_birth values are not in the future, ensuring logical consistency.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE date_of_birth IS NOT NULL AND date_of_birth > CURRENT_DATE
24,Validity: created_on not in future,"Checks that created_on timestamps are not in the future, ensuring data consistency.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE created_on IS NOT NULL AND created_on > NOW()
25,Validity: modified_on not in future,"Checks that modified_on timestamps are not in the future, ensuring data consistency.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE modified_on IS NOT NULL AND modified_on > NOW()
26,Uniqueness: email_address,"Checks for duplicate email_address values, which should be unique per customer if required by business rules.","SELECT email_address, COUNT(*) FROM tsb.customer_data_bank WHERE email_address IS NOT NULL GROUP BY email_address HAVING COUNT(*) > 1"
27,Uniqueness: national_id_or_passport_number,"Checks for duplicate national_id_or_passport_number values, which should be unique per customer if required by business rules.","SELECT national_id_or_passport_number, COUNT(*) FROM tsb.customer_data_bank WHERE national_id_or_passport_number IS NOT NULL GROUP BY national_id_or_passport_number HAVING COUNT(*) > 1"
28,Consistency: created_on before modified_on,"Checks that created_on is not after modified_on, ensuring logical consistency in timestamps.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE created_on IS NOT NULL AND modified_on IS NOT NULL AND created_on > modified_on
29,Validity: status values,"Checks that status values are within expected domain (e.g., Active, Inactive, Suspended), ensuring standardization.","SELECT COUNT(*) FROM tsb.customer_data_bank WHERE status IS NOT NULL AND status NOT IN ('Active','Inactive','Suspended')"
30,Validity: account_numbers format,"Checks that account_numbers values contain only digits and commas (if storing multiple accounts as a comma-separated list), ensuring valid account numbers.","SELECT COUNT(*) FROM tsb.customer_data_bank WHERE account_numbers IS NOT NULL AND account_numbers !~* '^[0-9,]+$'"
